Mes;VENCIMENTO;LANCAMENTO;PAGAMENTO;DOCUMENTO;NF;CODIGO;FORNECEDOR;COMPLEMENTO;COD;HISTORICO;VALOR_HIST;JUROS;DESCONTOS;VALOR;RESTANTE;COD_G_HIST;G_HIST;CODIGO CONTABIL
1;01/01/2024;19/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;1960,27;0;0;1960,27;=(K2+L2-M2-N2);13;FRETES;
1;01/01/2024;22/11/2023;02/01/2024;482845/02;482845;30;JTC DISTRIBUIDORA LTDA;;104;MATERIA PRIMA;1321;0;0;1321;=(K3+L3-M3-N3);17;ESPECIARIAS;
1;01/01/2024;19/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;200,52;0;0;200,52;=(K4+L4-M4-N4);13;FRETES;
1;01/01/2024;11/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;878,42;0;0;878,42;=(K5+L5-M5-N5);13;FRETES;
1;01/01/2024;01/12/2023;02/01/2024;8408/04;8408;55;ERVATEIRA CASAGRANDE LTDA;;104;MATERIA PRIMA;15741,5;0;0;15741,5;=(K6+L6-M6-N6);24;ERVA MATE TIPO B E PALITO;
1;01/01/2024;27/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;995,22;0;0;995,22;=(K7+L7-M7-N7);13;FRETES;
1;01/01/2024;13/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;929,5;0;0;929,5;=(K8+L8-M8-N8);13;FRETES;
1;01/01/2024;11/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;200,52;0;0;200,52;=(K9+L9-M9-N9);13;FRETES;
1;01/01/2024;13/12/2023;02/01/2024;;;80;BAUER EXPRESS;;108;FRETES;133,68;0;0;133,68;=(K10+L10-M10-N10);13;FRETES;
2;01/01/2024;16/02/2024;16/02/2024;;;219;MAPFRE SEGUROS GERAIS S.A.;;155;FROTA;1834,57;0;0;1834,57;=(K11+L11-M11-N11);197;SEGURO VAN 1;
1;02/01/2024;29/11/2023;02/01/2024;12667/03;;65;B BATISTA FERRAGENS EIRELI;;107;MATERIAIS DE CONSUMO;549;0;0;549;=(K12+L12-M12-N12);133;MATERIAIS DE EPI;
1;02/01/2024;05/12/2023;02/01/2024;640/01;640;64;RB COMERCIO E INDUSTRIA LTDA;;104;MATERIA PRIMA;10560;0;0;10560;=(K13+L13-M13-N13);38;LIMAO TRITURADO;
1;02/01/2024;05/12/2023;02/01/2024;;;74;GOVERNO;;135;IMPOSTOS;61,08;0;0;61,08;=(K14+L14-M14-N14);56;DARE - SP ST;
