CODPRODUTO;DESCPRODUTO;VALORCUSTO
1.0;ERVA MATE P/ TERER� - TRADICIOANAL;4,12
2.0;ERVA MATE P/ TERER� - PURA FOLHA;5,10
3.0;ERVA MATE P/ TERER� - BURRITO;5,58
4.0;BOMBA INOX - CHATA;27,21
5.0;BOMBA INOX - QUADRADA;27,21
6.0;BOMBA INOX - REDONDA ROSCA;18,21
7.0;BOMBA INOX - REDONDA MOLA;11,21
8.0;COPO INOX - QUADRADO POLIDO;26,44
9.0;GARRAFA DE 2,5 LITROS;85,00
13.0;COPO INOX - COURO;16,21
14.0;COPO INOX - REDONDO POLIDO;26,44
16.0;BOMBA INOX - MOLA INTERNA;20,21
22.0;COPO INOX - QUADRADO MARROM;30,44
23.0;COPO INOX - QUADRADO VERDE;30,44
24.0;COPO INOX - QUADRADO AZUL;30,44
25.0;COPO INOX - QUADRADO PRETO FOSCO;30,44
26.0;COPO INOX - REDONDO MARROM;30,44
27.0;COPO INOX - REDONDO VERDE;30,44
28.0;COPO INOX - REDONDO AZUL;30,44
29.0;COPO INOX - REDONDO PRETO FOSCO;30,44
30.0;ERVA MATE P/ CHIMARR�O;9,05
31.0;BOMBA INOX - CHATA PRETA;29,21
32.0;BOMBA INOX - QUADRADA PRETA;29,21
33.0;BOMBA INOX - REDONDA ROSCA;20,21
34.0;BOMBA INOX - REDONDA MOLA PRETA;13,21
35.0;BOMBA INOX - MOLA INTERNA PRETA;21,21
36.0;BOMBA INOX - CHIMARR�O BOLA;22,94
37.0;BOMBA INOX - CHIMARR�O LISA;22,94
38.0;COPO INOX - QUADRADO ROSE;29,44
39.0;COPO INOX - REDONDO ROSE;29,44
40.0;BOMBA INOX - CHATA ROSE;29,21
41.0;BOMBA INOX - QUADRADA ROSE;29,21
42.0;BOMBA INOX - ROSCA ROSE;20,21
43.0;BOMBA INOX - REDONDA MOLA;13,21
44.0;BOMBA INOX - MOLA INTERNA ROSE;21,21
45.0;GARRAFA TERMICA INOX 2,5 LITROS ENCOURADA ;335,00
46.0;ERVA MATE P/ TERER� - MENTA E LIM�O;4,52
47.0;ERVA MATE P/ TERER� - SUPREME FITX ;4,11
48.0;ERVA MATE P/ TERER� - HORTELA;4,69
49.0;ERVA MATE P/ TERER� - BOLDO E MENTA;5,03
50.0;ERVA MATE P/ TERER� - MENTA STRONGER;5,77
52.0;COPO INOX - QUADRADO LARANJA;29,44
53.0;COPO INOX - QUADRADO VERDE PISCINA;29,44
54.0;COPO INOX - QUADRADO VERDE LIM�O;29,44
55.0;COPO INOX - QUADRADO VERDE LIM�O / VERDE PISCINA;30,44
56.0;COPO INOX - QUADRADO VERDE LIM�O / LARANJA;30,44
57.0;COPO INOX - QUADRADO VERDE / PRETO;30,44
60.0;CANIVETE INOX - POLIDO ;46,50
61.0;BOMBA INOX - QUADRADA TELA POLIDA;25,21
62.0;GARRAFA TERMICA INOX 2,5 LITROS STANDARD;166,21
63.0;PALHEIRO TRADICIONAL;8,69
64.0;PALHEIRO TRADICIONAL;8,69
65.0;GARRAFA GRAVA��O TROT'S;8,69
66.0;ERVA MATE P/ TERERE - EUCALIPTO;5,07
67.0;ERVA MATE P/ TERERE - MENTA E CEREJA;4,88
68.0;GARRAFA TERMICA INOX 2,5 LITRO PRETA GRAVADA;80,00
